pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
480.458286,201.612055,215.097138,276.644222,305.601197,287.966294,435.796564,202.844661,418.620000,364.950000,335.753323,354.759445,289.613849,251.064845
477.170039,204.161386,215.097138,278.734645,302.594292,287.500052,436.558466,206.454441,419.020000,367.010000,335.753323,357.080839,289.613849,253.954006
474.584138,204.783804,214.852017,282.535414,300.790149,288.665657,434.865352,209.079735,418.940000,368.960000,335.753323,357.080839,289.380938,254.134579
471.651515,205.238528,214.606897,284.435799,298.384625,290.996868,436.371679,213.118007,419.070000,370.970000,335.753323,357.545118,287.517650,257.384885
467.821829,205.717231,214.606897,284.625838,297.482553,292.395594,434.513691,216.186695,419.650057,375.826907,335.753323,359.402233,287.284739,257.926603
459.964945,207.817690,214.606897,286.146145,295.377720,294.260562,438.146649,219.974510,419.930000,379.020000,335.753323,359.402233,286.120184,261.538054
455.630112,212.018607,214.852017,289.756876,292.671505,295.426168,436.768631,223.373831,419.860000,381.800000,335.753323,361.723627,285.188540,262.802062
453.155448,213.680180,215.587379,292.607453,290.680000,297.580000,436.893905,227.744386,420.040000,385.100000,335.753323,367.759251,283.567846,266.126507
447.770242,216.463562,216.322741,294.697877,289.350000,299.900000,436.392807,232.503435,420.050000,387.270000,335.753323,368.223530,283.567846,266.126507
445.447211,218.018982,217.058102,296.598261,287.740000,302.010000,438.271923,236.971114,419.950000,389.870000,334.555626,375.651990,283.567846,267.330324
438.161344,217.282204,217.303223,298.498646,286.240000,303.940000,436.142259,238.427966,420.040000,392.040000,333.430225,378.690352,282.946750,268.293377
435.838314,215.972377,217.058102,301.349223,284.950000,306.000000,437.645551,242.215781,420.020000,394.090000,333.430225,381.991890,280.772914,270.941775
427.707708,220.802364,216.001441,304.892432,283.620000,308.030000,437.216488,246.758716,420.150000,396.100000,333.903389,384.559753,280.772914,271.664065
425.279086,217.118476,215.443562,306.838755,282.240000,309.790000,433.775328,249.911668,421.493139,396.481222,334.376553,385.660266,278.599078,275.275517
420.210656,222.603376,215.164622,309.217593,280.750000,312.140000,437.685738,253.064621,420.655375,396.870926,334.376553,385.660266,277.356886,277.442388
416.831703,231.854030,214.885682,312.461464,279.450000,314.040000,436.199782,257.430247,420.655375,398.040038,334.376553,387.127616,277.356886,279.850022
